date,new cases,new deaths
2020-06-10,350,13
2020-06-09,311,48
2020-06-08,336,7
2020-06-07,173,7
2020-06-06,282,6
2020-06-05,491,27
2020-06-04,498,37
2020-06-03,334,25
2020-06-02,326,56
2020-06-01,271,13
2020-05-31,200,5
2020-05-30,275,6
2020-05-29,567,24
2020-05-28,557,37
2020-05-27,607,35
2020-05-26,499,70
2020-05-25,461,57
2020-05-24,342,5
2020-05-23,273,14
2020-05-22,692,43
2020-05-21,490,39
2020-05-20,704,77
2020-05-19,538,70
2020-05-18,638,74
2020-05-17,407,22
2020-05-16,545,26
2020-05-15,724,73
2020-05-14,877,67
2020-05-13,927,123
2020-05-12,595,77
2020-05-11,697,92
2020-05-10,555,20
2020-05-09,736,39
2020-05-08,1158,118
2020-05-07,1268,117
2020-05-06,1155,282
2020-05-05,855,0
2020-05-04,488,127
2020-05-03,697,54
2020-05-02,890,76
2020-05-01,1068,113
2020-04-30,1470,156
2020-04-29,1627,153
2020-04-28,1154,188
2020-04-27,988,150
2020-04-26,1257,99
2020-04-25,1514,117
2020-04-24,1870,185
2020-04-23,2481,260
2020-04-22,2195,229
2020-04-21,1388,224
2020-04-20,1323,220
2020-04-19,2018,104
2020-04-18,2327,186
2020-04-17,3699,300
2020-04-16,2945,248
2020-04-15,2543,309
2020-04-14,2138,301
2020-04-13,2218,172
2020-04-12,2402,151
2020-04-11,3281,135
2020-04-10,3936,129
2020-04-09,4939,258
2020-04-08,5633,333
2020-04-07,4288,206
2020-04-06,3252,226
2020-04-05,4031,140
2020-04-04,4933,169
2020-04-03,6365,168
2020-04-02,6813,176
2020-04-01,6173,156
2020-03-31,4923,130
2020-03-30,4450,104
2020-03-29,4740,108
2020-03-28,6824,82
2020-03-27,6933,84
2020-03-26,6615,61
2020-03-25,4332,47
2020-03-24,3935,36
2020-03-23,4183,29
2020-03-22,2509,10
2020-03-21,2516,16
2020-03-20,4528,24
2020-03-19,2993,16
2020-03-18,2960,2
2020-03-17,2095,9
2020-03-16,1459,4
2020-03-15,1214,4
