date,new cases,new deaths
2020-03-16,3,0
2020-03-18,4,0
2020-03-19,4,0
2020-03-20,2,0
2020-03-21,4,0
2020-03-22,3,0
2020-03-23,6,0
2020-03-24,6,0
2020-03-25,0,0
2020-03-26,5,0
2020-03-27,4,0
2020-03-30,0,0
2020-03-31,2,0
2020-04-01,3,0
2020-04-02,2,0
2020-04-03,5,0
2020-04-04,9,2
2020-04-05,18,0
2020-04-06,35,3
2020-04-07,41,5
2020-04-08,54,3
2020-04-09,112,0
2020-04-10,94,6
2020-04-11,58,3
2020-04-12,139,4
2020-04-13,182,5
2020-04-14,209,7
2020-04-15,219,4
2020-04-16,341,10
2020-04-17,266,15
2020-04-18,306,9
2020-04-19,312,7
2020-04-20,492,10
2020-04-21,434,9
2020-04-22,390,10
2020-04-23,414,7
2020-04-24,503,4
2020-04-25,309,9
2020-04-26,418,5
2020-04-27,497,7
2020-04-28,549,3
2020-04-29,641,8
2020-04-30,564,5
2020-05-01,571,2
2020-05-02,552,5
2020-05-03,665,2
2020-05-04,688,5
2020-05-05,786,0
2020-05-06,790,3
2020-05-07,706,13
2020-05-08,709,7
2020-05-09,636,8
2020-05-10,887,14
2020-05-11,1034,11
2020-05-12,969,11
2020-05-13,1162,19
2020-05-14,1041,14
2020-05-15,1202,15
2020-05-16,930,16
2020-05-17,1273,14
2020-05-18,1602,21
2020-05-19,1251,21
2020-05-20,1617,16
2020-05-21,1773,22
2020-05-22,1694,24
2020-05-23,1873,20
2020-05-24,1532,28
2020-05-25,1975,21
2020-05-26,1166,21
2020-05-27,1541,22
2020-05-28,2029,15
2020-05-29,2523,23
2020-05-30,1764,28
2020-05-31,2545,40
2020-06-01,2381,22
2020-06-02,2911,37
2020-06-03,2695,37
2020-06-04,2423,35
2020-06-05,2828,30
2020-06-06,2635,35
2020-06-07,2743,42
2020-06-08,2735,42
